SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,temperature,pressure
1,0,0,0,0,0,0,0,0,0,0,0,3000,0
1,0,0,0,0,0,0,0,0,0,0,0,3000,22.222222
1,0,0,0,0,0,0,0,0,0,0,0,3000,44.444444
1,0,0,0,0,0,0,0,0,0,0,0,3000,66.666667
1,0,0,0,0,0,0,0,0,0,0,0,3000,88.888889
1,0,0,0,0,0,0,0,0,0,0,0,3000,111.111111
1,0,0,0,0,0,0,0,0,0,0,0,3000,133.333333
1,0,0,0,0,0,0,0,0,0,0,0,3000,155.555556
1,0,0,0,0,0,0,0,0,0,0,0,3000,177.777778
1,0,0,0,0,0,0,0,0,0,0,0,3000,200
1,0,0,0,0,0,0,0,0,0,0,0,3500,0
1,0,0,0,0,0,0,0,0,0,0,0,3500,22.222222
1,0,0,0,0,0,0,0,0,0,0,0,3500,44.444444
1,0,0,0,0,0,0,0,0,0,0,0,3500,66.666667
1,0,0,0,0,0,0,0,0,0,0,0,3500,88.888889
1,0,0,0,0,0,0,0,0,0,0,0,3500,111.111111
1,0,0,0,0,0,0,0,0,0,0,0,3500,133.333333
1,0,0,0,0,0,0,0,0,0,0,0,3500,155.555556
1,0,0,0,0,0,0,0,0,0,0,0,3500,177.777778
1,0,0,0,0,0,0,0,0,0,0,0,3500,200
1,0,0,0,0,0,0,0,0,0,0,0,4000,0
1,0,0,0,0,0,0,0,0,0,0,0,4000,22.222222
1,0,0,0,0,0,0,0,0,0,0,0,4000,44.444444
1,0,0,0,0,0,0,0,0,0,0,0,4000,66.666667
1,0,0,0,0,0,0,0,0,0,0,0,4000,88.888889
1,0,0,0,0,0,0,0,0,0,0,0,4000,111.111111
1,0,0,0,0,0,0,0,0,0,0,0,4000,133.333333
1,0,0,0,0,0,0,0,0,0,0,0,4000,155.555556
1,0,0,0,0,0,0,0,0,0,0,0,4000,177.777778
1,0,0,0,0,0,0,0,0,0,0,0,4000,200
1,0,0,0,0,0,0,0,0,0,0,0,5000,0
1,0,0,0,0,0,0,0,0,0,0,0,5000,22.222222
1,0,0,0,0,0,0,0,0,0,0,0,5000,44.444444
1,0,0,0,0,0,0,0,0,0,0,0,5000,66.666667
1,0,0,0,0,0,0,0,0,0,0,0,5000,88.888889
1,0,0,0,0,0,0,0,0,0,0,0,5000,111.111111
1,0,0,0,0,0,0,0,0,0,0,0,5000,133.333333
1,0,0,0,0,0,0,0,0,0,0,0,5000,155.555556
1,0,0,0,0,0,0,0,0,0,0,0,5000,177.777778
1,0,0,0,0,0,0,0,0,0,0,0,5000,200
1,0,0,0,0,0,0,0,0,0,0,0,6000,0
1,0,0,0,0,0,0,0,0,0,0,0,6000,22.222222
1,0,0,0,0,0,0,0,0,0,0,0,6000,44.444444
1,0,0,0,0,0,0,0,0,0,0,0,6000,66.666667
1,0,0,0,0,0,0,0,0,0,0,0,6000,88.888889
1,0,0,0,0,0,0,0,0,0,0,0,6000,111.111111
1,0,0,0,0,0,0,0,0,0,0,0,6000,133.333333
1,0,0,0,0,0,0,0,0,0,0,0,6000,155.555556
1,0,0,0,0,0,0,0,0,0,0,0,6000,177.777778
1,0,0,0,0,0,0,0,0,0,0,0,6000,200
